run_id,technique,config_index,selection_metric,fit_seconds,num_features_fit,calibration_method,calibration_cv,word_max_features,word_ngram_range,char_max_features,char_ngram_range,min_df,max_df,sublinear_tf,C,class_weight,validation_threshold,validation_support,validation_positive_support,validation_negative_support,validation_positive_rate,validation_accuracy,validation_balanced_accuracy,validation_positive_precision,validation_positive_recall,validation_positive_f1,validation_macro_f1,validation_weighted_f1,validation_roc_auc,validation_pr_auc,validation_brier_score,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_positive_rate,validation_false_negative_rate
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,47,validation_positive_f1,2.1591856479644775,74183,sigmoid,3,20000,"[1, 2]",100000,"[3, 6]",1,0.95,True,3.0,,0.42000000000000004,450,169,281,0.37555555555555553,0.8155555555555556,0.808682010570869,0.7415730337078652,0.7810650887573964,0.760806916426513,0.8053582502566561,0.8164465822321585,0.8772979005664469,0.8410492511493617,0.1484060038111832,235,46,37,132,0.16370106761565836,0.21893491124260356
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,36,validation_positive_f1,2.1987316608428955,70000,sigmoid,3,20000,"[1, 2]",50000,"[3, 6]",1,0.95,True,3.0,balanced,0.42000000000000004,450,169,281,0.37555555555555553,0.8155555555555556,0.808682010570869,0.7415730337078652,0.7810650887573964,0.760806916426513,0.8053582502566561,0.8164465822321585,0.877382130598665,0.841031978495014,0.14878187715296304,235,46,37,132,0.16370106761565836,0.21893491124260356
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,84,validation_positive_f1,2.216202974319458,82281,sigmoid,3,50000,"[1, 2]",50000,"[3, 6]",1,0.95,True,3.0,balanced,0.41000000000000003,450,169,281,0.37555555555555553,0.8111111111111111,0.8086609530628146,0.7258064516129032,0.7988165680473372,0.7605633802816901,0.8023000387646984,0.8126878293204692,0.8779085683000273,0.8409521719114184,0.1468380766158238,230,51,34,135,0.18149466192170818,0.20118343195266272
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,83,validation_positive_f1,2.191986560821533,82281,sigmoid,3,50000,"[1, 2]",50000,"[3, 6]",1,0.95,True,3.0,,0.41000000000000003,450,169,281,0.37555555555555553,0.8111111111111111,0.8086609530628146,0.7258064516129032,0.7988165680473372,0.7605633802816901,0.8023000387646984,0.8126878293204692,0.8773400155825559,0.8405857689911098,0.14689241849553483,230,51,34,135,0.18149466192170818,0.20118343195266272
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,77,validation_positive_f1,2.0355284214019775,68024,sigmoid,3,50000,"[1, 2]",50000,"[3, 5]",1,0.95,True,3.0,,0.41000000000000003,450,169,281,0.37555555555555553,0.8111111111111111,0.8074817326117627,0.7282608695652174,0.7928994082840237,0.7592067988668555,0.801906872925201,0.8125344469130561,0.876371370212049,0.8403412476363222,0.1469182208855661,231,50,35,134,0.17793594306049823,0.20710059171597633
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,89,validation_positive_f1,2.0763819217681885,68024,sigmoid,3,50000,"[1, 2]",100000,"[3, 5]",1,0.95,True,3.0,,0.41000000000000003,450,169,281,0.37555555555555553,0.8111111111111111,0.8074817326117627,0.7282608695652174,0.7928994082840237,0.7592067988668555,0.801906872925201,0.8125344469130561,0.876371370212049,0.8403412476363222,0.1469182208855661,231,50,35,134,0.17793594306049823,0.20710059171597633
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,34,validation_positive_f1,2.011394500732422,70000,sigmoid,3,20000,"[1, 2]",50000,"[3, 6]",1,0.95,True,1.0,balanced,0.42000000000000004,450,169,281,0.37555555555555553,0.8133333333333334,0.806902651140264,0.7374301675977654,0.7810650887573964,0.7586206896551724,0.803223388305847,0.8143245044144594,0.8819726673545453,0.8452474916437571,0.14610852401233174,234,47,37,132,0.16725978647686832,0.21893491124260356
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,48,validation_positive_f1,2.205425262451172,74183,sigmoid,3,20000,"[1, 2]",100000,"[3, 6]",1,0.95,True,3.0,balanced,0.42000000000000004,450,169,281,0.37555555555555553,0.8133333333333334,0.806902651140264,0.7374301675977654,0.7810650887573964,0.7586206896551724,0.803223388305847,0.8143245044144594,0.8784350060013899,0.8419730040650004,0.14836465582958264,234,47,37,132,0.16725978647686832,0.21893491124260356
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,35,validation_positive_f1,2.183361291885376,70000,sigmoid,3,20000,"[1, 2]",50000,"[3, 6]",1,0.95,True,3.0,,0.42000000000000004,450,169,281,0.37555555555555553,0.8133333333333334,0.8057234306892123,0.7401129943502824,0.7751479289940828,0.7572254335260116,0.8028004423947748,0.8141435557132225,0.876708290340921,0.8405576695134822,0.1488232441501003,235,46,38,131,0.16370106761565836,0.22485207100591717
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,78,validation_positive_f1,2.0549659729003906,68024,sigmoid,3,50000,"[1, 2]",50000,"[3, 5]",1,0.95,True,3.0,balanced,0.4,450,169,281,0.37555555555555553,0.8044444444444444,0.8056813156731033,0.7098445595854922,0.8106508875739645,0.7569060773480663,0.7966686520569328,0.806565115095584,0.8771504980100654,0.8409570350156816,0.14685392544286532,225,56,32,137,0.199288256227758,0.1893491124260355
