max_features,ngram_range,min_df,max_df,sublinear_tf,learning_rate,weight_decay,batch_size,use_pos_weight,config_index,best_epoch,epochs_trained,pos_weight_value,val_threshold,val_accuracy,val_balanced_accuracy,val_positive_precision,val_positive_recall,val_positive_f1,val_macro_f1,val_weighted_f1,val_roc_auc,val_pr_auc,val_brier_score,val_tn,val_fp,val_fn,val_tp,runtime_seconds
20000,"[1, 2]",1,0.95,True,0.001,0.001,64,True,52,4,9,1.6569620253164556,0.5,0.8088888888888889,0.7974478300237949,0.7426900584795322,0.7514792899408284,0.7470588235294118,0.7967436974789917,0.8091097105508869,0.8676114468613785,0.8375774178599943,0.22828949521896952,237,44,42,127,7.566330909729004
20000,"[1, 2]",1,0.95,True,0.0005,0.0001,32,True,53,4,9,1.6569620253164556,0.5,0.8066666666666666,0.7968476910442418,0.735632183908046,0.757396449704142,0.7463556851311953,0.7950808946302297,0.8072080578833226,0.8665375139505991,0.8354145396798527,0.23206233636537174,235,46,41,128,7.95748233795166
20000,"[1, 2]",1,0.95,True,0.0005,0.001,32,True,55,4,9,1.6569620253164556,0.5,0.8066666666666666,0.7968476910442418,0.735632183908046,0.757396449704142,0.7463556851311953,0.7950808946302297,0.8072080578833226,0.8663901113942175,0.8348768447830857,0.23244991191304323,235,46,41,128,7.85339617729187
20000,"[1, 2]",1,0.95,True,0.001,0.0001,64,True,50,4,9,1.6569620253164556,0.5,0.8066666666666666,0.79566847059319,0.7383720930232558,0.7514792899408284,0.7448680351906158,0.7946164862894045,0.8069983230073252,0.8670850091600161,0.8377851296197839,0.22766889718191774,236,45,42,127,7.4941325187683105
20000,"[1, 2]",1,0.95,True,0.0005,0.001,64,True,56,9,14,1.6569620253164556,0.5,0.8066666666666666,0.79566847059319,0.7383720930232558,0.7514792899408284,0.7448680351906158,0.7946164862894045,0.8069983230073252,0.8681168270546864,0.8370685148387836,0.22622267732409332,236,45,42,127,11.53804612159729
20000,"[1, 2]",1,0.95,True,0.001,0.0001,32,True,49,9,14,1.6569620253164556,0.5,0.8133333333333334,0.7951104466297458,0.7672955974842768,0.7218934911242604,0.7439024390243902,0.7985246460856217,0.8121195065097504,0.8699067152393186,0.8393023440889269,0.19177492102646387,244,37,47,122,11.964915752410889
20000,"[1, 2]",1,0.95,True,0.0005,0.0001,64,True,54,6,11,1.6569620253164556,0.5,0.8066666666666666,0.7944892501421381,0.7411764705882353,0.7455621301775148,0.7433628318584071,0.7941413089773319,0.806779507726931,0.8672324117163974,0.838309484933752,0.2327409378543337,237,44,43,126,9.042290687561035
20000,"[1, 2]",1,0.95,True,0.001,0.001,32,True,51,5,10,1.6569620253164556,0.5,0.8066666666666666,0.7921308092400345,0.7469879518072289,0.7337278106508875,0.7402985074626866,0.7931581032888654,0.8063142693611588,0.8675693318452694,0.8359035011078069,0.21322924918032346,239,42,45,124,8.854088544845581
10000,"[1, 2]",1,0.95,True,0.001,0.0001,32,True,17,17,22,1.6569620253164556,0.5,0.8044444444444444,0.7891722293583778,0.7454545454545455,0.727810650887574,0.7365269461077845,0.7905249571528321,0.8039644621240439,0.8706647855292805,0.8382911652240455,0.1692437038079756,239,42,46,123,17.97501516342163
10000,"[1, 2]",1,0.95,True,0.0005,0.001,64,True,24,8,13,1.6569620253164556,0.5,0.8066666666666666,0.7850554865337236,0.7662337662337663,0.6982248520710059,0.7306501547987616,0.7899351293924484,0.8046905008468771,0.8640948430162774,0.8325284388364947,0.22792898604641804,245,36,51,118,9.9129319190979
